 	Area	Mean	Min	Max	X	Y	Perim.	
189	4	71.250	70	73	345.500	379.750	7.657	
190	146	75.438	67	100	366.767	393.082	104.610	
191	8	76.750	70	88	380	384.375	10.485	
192	10	74.900	70	83	392.500	385.400	12.485	
193	44	78.182	70	96	506.409	385.659	37.456	
194	27	77.185	70	93	402.278	387.611	21.314	
195	4	71	70	74	344	387	5.657	
196	6	72.833	70	78	419.833	388.167	9.071	
197	5	74.400	70	79	384.700	389.900	7.657	
198	111	74.405	68	91	457.239	398.347	67.497	
199	16	71.250	69	73	472.688	394.625	18.142	
200	10	90.900	72	121	821	394.800	11.899	
201	7	74.714	70	80	436.500	397.500	8.485	
202	4	74	72	77	407.500	397.750	7.657	
203	5	71	70	75	471.100	399.300	9.899	
204	12	71.667	70	74	374	402	14.728	
205	4	74.750	73	77	416	401	5.657	
206	22	85.955	70	132	438.364	402.727	16.728	
207	6	71.333	70	73	388.500	402.667	8.485	
208	122	74.926	68	101	430.189	412.639	83.397	
209	22	80.545	70	107	371.500	407.500	22.971	
210	5	77	72	79	445.700	405.900	7.657	
211	60	73.250	70	86	415.783	410.383	42.770	
212	6	72.500	70	77	450	407	9.657	
213	4	72.750	70	75	827	407	5.657	
214	8	74.625	70	79	403.750	408.625	10.485	
215	46	98.087	70	155	542.196	411.783	26.385	
216	345	74.968	67	101	390.633	425.106	137.581	
217	8	85.250	73	104	473	413.375	10.485	
218	12	71.083	70	73	490.167	415.583	13.314	
219	4	73.250	72	75	525.750	414.750	7.071	
220	8	86.250	70	112	105.375	416	10.485	
221	9	74.778	70	81	441.944	415.611	10.485	
222	24	71.833	70	79	462.583	419.417	25.799	
223	27	74.667	70	86	403.278	417.389	21.556	
224	5	73.400	70	78	485.300	416.100	7.657	
225	25	75.200	67	93	421.380	423.260	20.971	
226	17	85.235	70	117	480.794	422.206	14.485	
227	7	71.571	70	75	402.929	422.929	10.485	
228	15	90.667	70	131	709.567	422.767	13.314	
229	7	81.143	70	91	714.500	422.786	8.485	
230	10	74.200	70	84	490.500	424.700	11.899	
231	8	72.250	70	75	531	425	12.728	
232	13	79.154	70	99	412.269	425.269	13.314	
233	20	76.700	70	95	467.150	426.250	15.899	
234	11	73.364	70	79	400.136	426.955	11.314	
235	6	71.500	70	73	425.500	426	7.657	
236	83	74.747	69	91	433.151	431.596	64.912	
237	9	91	74	115	247.389	427.833	10.485	
238	76	71.605	68	81	451.118	432.421	52.426	
239	10	78.700	70	92	484.800	427.900	11.899	
240	9	72.333	70	75	534.944	428.500	12.485	
241	12	71.917	70	75	474	429.500	11.657	
242	13	73	68	80	374.808	431.038	13.899	
243	10	72.400	70	75	411.400	430.200	12.485	
244	28	88.750	74	107	574.286	431.321	18.728	
245	4	73	70	77	234.750	432.500	7.071	
246	20	79.400	70	101	543.450	433.900	16.728	
247	15	78.067	72	95	382.700	435.833	18.971	
248	21	74.571	70	83	489.500	435.595	17.314	
249	25	93.680	70	154	242.340	436.900	17.899	
250	15	75.667	70	88	408.833	436.767	15.314	
251	92	84.707	70	115	509.587	441.130	40.870	
252	28	75.036	70	89	465.464	439.786	23.556	
253	4	70.750	70	73	441	438.500	7.071	
254	5	73	70	77	428.700	439.300	8.485	
255	4	74	70	79	432.250	439.250	7.657	
256	115	74.557	69	101	455.648	444.743	52.426	
257	11	77.545	72	88	554.045	439.682	11.899	
258	4	72	70	74	372.750	440.500	7.071	
259	5	75	72	85	759.300	440.100	7.657	
260	63	74.857	70	97	441.627	444.087	34.870	
261	4	74.250	70	79	500	442	5.657	
